#sampleID	rawreads	rawdata	rawq20	rawq30	rawGC	ada	cleanreads	cleandata	cleanq20	cleanq30	cleanGC
F9	36305475	10492282275	0.989472	0.967851	0.416786120746367	0.0181845437912601	36202150	10427040073	0.990828	0.970194	0.416366749500346
F8	34370591	9967471390	0.988949	0.966316	0.418380008390345	0.0194375185460151	34263686	9900718690	0.99037	0.968773	0.41833248794138
F7	40612574	11818259034	0.989427	0.967699	0.417799027994502	0.0171131975038076	40489889	11744564423	0.990818	0.970118	0.416325220766323
F6	33238062	9506085732	0.989871	0.968961	0.416520201153147	0.0164418430894076	33146164	9450014592	0.991125	0.971109	0.415935187582517
F5	40260850	11595124800	0.990187	0.969905	0.417269566665278	0.0184925305849231	40155901	11526705000	0.991412	0.972005	0.416855776620139
F4	21103572	6098932308	0.994512	0.971212	0.409693400453979	0.00615232340762028	21068066	6081165173	0.995217	0.972451	0.409509960761245
F3	30190982	8724617012	0.98995	0.969227	0.412703788551724	0.0209080148502622	30106162	8668741897	0.991278	0.971468	0.413209727586206
F23	23251557	6719699973	0.9911	0.971827	0.414248649858132	0.0285050803264487	23207115	6675096749	0.992183	0.973688	0.414471642955018
F2	22406012	6495403276	0.989865	0.969364	0.419506480152233	0.0266614156950376	22340981	6446395573	0.991303	0.971837	0.417990196955326
F22	23063827	6688509830	0.990954	0.97139	0.415055530924138	0.0233552957191363	23016835	6648560066	0.992041	0.973262	0.414668708265862
F20	24786662	7188131980	0.989099	0.966734	0.417170247655172	0.0172039300814285	24711350	7140859388	0.990495	0.969159	0.416314479548276
F18	48387072	14129025024	0.988768	0.965494	0.41871956609589	0.019471502636076	48251156	14035387629	0.990142	0.967863	0.41817552635274
F17	21757472	6266151936	0.99446	0.971418	0.408546458011459	0.00630764916071132	21717945	6246942253	0.995212	0.972743	0.408376937472222
F16	38454149	11267065657	0.988966	0.966564	0.417470957808874	0.0199154322723408	38335908	11189548169	0.99043	0.9691	0.417198761160409
F15	22704962	6675258828	0.989267	0.96731	0.419161656241496	0.0184990620112027	22637034	6631216308	0.990704	0.969816	0.417863793598639
F14	23701782	6826113216	0.98911	0.966727	0.416494798722223	0.0207384828701909	23634227	6779094962	0.990471	0.969068	0.415726504743055
F13	44886483	13017080070	0.989778	0.968821	0.416914111389655	0.0204852316007917	44762668	12931654675	0.991096	0.971093	0.416317500386207
F12	41583119	12100687629	0.989432	0.967882	0.415307990327492	0.019425274472557	41462401	12020623024	0.990802	0.970242	0.415119707694502
F1	24129611	6997587190	0.994317	0.970422	0.410608952702414	0.00427004397211376	24084468	6977389519	0.995081	0.971778	0.409161643193104
F11	37592684	10977063728	0.989717	0.968556	0.41918100019178	0.0189280845177216	37487869	10908716523	0.991043	0.970848	0.418067184157534
F10	26941658	7732255846	0.989136	0.966814	0.416817588382578	0.018513875426672	26859984	7680940005	0.990526	0.96922	0.416140134052613
