,F1,F2,F3,F4,F5,F6,F7,F8,F9,F23,F22,F18,F20,F12,F13,F10,F11,F16,F17,F14,F15
F1,1.0,0.795901,0.802514,0.797526,0.784285,0.784632,0.793638,0.780912,0.782338,0.789625,0.794113,0.798319,0.800744,0.792125,0.793274,0.79074,0.783466,0.79324,0.802506,0.788896,0.785867
F2,0.795901,1.0,0.803457,0.954085,0.791675,0.796002,0.799644,0.792386,0.792096,0.79983,0.806639,0.797727,0.80558,0.800103,0.79641,0.798307,0.792596,0.797476,0.789289,0.800444,0.789632
F3,0.802514,0.803457,1.0,0.800887,0.787443,0.788875,0.795778,0.792195,0.78977,0.794779,0.799478,0.799019,0.799024,0.798905,0.793983,0.794674,0.788779,0.800604,0.79819,0.790819,0.792306
F4,0.797526,0.954085,0.800887,1.0,0.78688,0.792062,0.794521,0.789315,0.788897,0.797387,0.804251,0.794805,0.801576,0.796428,0.791643,0.795752,0.789455,0.794858,0.791365,0.796206,0.784358
F5,0.784285,0.791675,0.787443,0.78688,1.0,0.812733,0.810484,0.822071,0.793876,0.787333,0.79244,0.793116,0.789469,0.806986,0.803609,0.790803,0.835978,0.790859,0.785161,0.790222,0.792182
F6,0.784632,0.796002,0.788875,0.792062,0.812733,1.0,0.80859,0.806361,0.806046,0.787426,0.78684,0.787394,0.789196,0.7953,0.79512,0.811027,0.813449,0.787589,0.780323,0.787624,0.805973
F7,0.793638,0.799644,0.795778,0.794521,0.810484,0.80859,1.0,0.80142,0.786878,0.794142,0.795543,0.79645,0.793934,0.816836,0.815741,0.791832,0.815107,0.793201,0.787451,0.804039,0.785297
F8,0.780912,0.792386,0.792195,0.789315,0.822071,0.806361,0.80142,1.0,0.795227,0.796163,0.794981,0.78993,0.787003,0.796064,0.793551,0.793208,0.82762,0.795232,0.785462,0.790841,0.793381
F9,0.782338,0.792096,0.78977,0.788897,0.793876,0.806046,0.786878,0.795227,1.0,0.795861,0.791005,0.790059,0.792272,0.792356,0.787346,0.797845,0.805998,0.793921,0.784918,0.785862,0.814934
F23,0.789625,0.79983,0.794779,0.797387,0.787333,0.787426,0.794142,0.796163,0.795861,1.0,0.809686,0.791535,0.793001,0.797328,0.787978,0.78856,0.796188,0.8039,0.788247,0.798266,0.791171
F22,0.794113,0.806639,0.799478,0.804251,0.79244,0.78684,0.795543,0.794981,0.791005,0.809686,1.0,0.80056,0.798044,0.799162,0.796388,0.788105,0.794238,0.826733,0.792628,0.792083,0.784394
F18,0.798319,0.797727,0.799019,0.794805,0.793116,0.787394,0.79645,0.78993,0.790059,0.791535,0.80056,1.0,0.824861,0.807766,0.805686,0.793931,0.787361,0.79968,0.798907,0.790655,0.789214
F20,0.800744,0.80558,0.799024,0.801576,0.789469,0.789196,0.793934,0.787003,0.792272,0.793001,0.798044,0.824861,1.0,0.802089,0.800859,0.799048,0.788585,0.7999,0.790963,0.794836,0.786722
F12,0.792125,0.800103,0.798905,0.796428,0.806986,0.7953,0.816836,0.796064,0.792356,0.797328,0.799162,0.807766,0.802089,1.0,0.88627,0.796753,0.797252,0.802237,0.797502,0.792121,0.787091
F13,0.793274,0.79641,0.793983,0.791643,0.803609,0.79512,0.815741,0.793551,0.787346,0.787978,0.796388,0.805686,0.800859,0.88627,1.0,0.793105,0.79495,0.800325,0.795873,0.789364,0.789434
F10,0.79074,0.798307,0.794674,0.795752,0.790803,0.811027,0.791832,0.793208,0.797845,0.78856,0.788105,0.793931,0.799048,0.796753,0.793105,1.0,0.79378,0.793192,0.788096,0.785222,0.795148
F11,0.783466,0.792596,0.788779,0.789455,0.835978,0.813449,0.815107,0.82762,0.805998,0.796188,0.794238,0.787361,0.788585,0.797252,0.79495,0.79378,1.0,0.793998,0.786644,0.787499,0.801142
F16,0.79324,0.797476,0.800604,0.794858,0.790859,0.787589,0.793201,0.795232,0.793921,0.8039,0.826733,0.79968,0.7999,0.802237,0.800325,0.793192,0.793998,1.0,0.793212,0.789612,0.786934
F17,0.802506,0.789289,0.79819,0.791365,0.785161,0.780323,0.787451,0.785462,0.784918,0.788247,0.792628,0.798907,0.790963,0.797502,0.795873,0.788096,0.786644,0.793212,1.0,0.788087,0.777053
F14,0.788896,0.800444,0.790819,0.796206,0.790222,0.787624,0.804039,0.790841,0.785862,0.798266,0.792083,0.790655,0.794836,0.792121,0.789364,0.785222,0.787499,0.789612,0.788087,1.0,0.789092
F15,0.785867,0.789632,0.792306,0.784358,0.792182,0.805973,0.785297,0.793381,0.814934,0.791171,0.784394,0.789214,0.786722,0.787091,0.789434,0.795148,0.801142,0.786934,0.777053,0.789092,1.0
