,F1,F2,F3,F4,F5,F6,F7,F8,F9,F23,F22,F18,F20,F12,F13,F10,F11,F16,F17,F14,F15
F1,1.0,-0.245255,-0.129316,-0.157093,-0.103805,-0.118779,-0.183765,-0.133786,-0.15931,-0.392324,-0.328103,-0.15861,-0.274247,-0.281095,-0.0831435,-0.135973,-0.141888,-0.252173,-0.179541,-0.107681,-0.0866079
F2,-0.245255,1.0,-0.222007,0.368068,-0.226678,-0.22999,-0.254126,-0.250507,-0.271445,-0.385971,-0.303086,-0.254467,-0.293486,-0.286384,-0.212114,-0.244155,-0.261031,-0.272666,-0.303257,-0.206739,-0.206864
F3,-0.129316,-0.222007,1.0,-0.167977,-0.152673,-0.15642,-0.191667,-0.155089,-0.178323,-0.396437,-0.319733,-0.166873,-0.296751,-0.264972,-0.131967,-0.156345,-0.17789,-0.230535,-0.215981,-0.15394,-0.113041
F4,-0.157093,0.368068,-0.167977,1.0,-0.178002,-0.169877,-0.198264,-0.192874,-0.203672,-0.336483,-0.283427,-0.191247,-0.248216,-0.242613,-0.164825,-0.180904,-0.197938,-0.229761,-0.210796,-0.156475,-0.163775
F5,-0.103805,-0.226678,-0.152673,-0.178002,1.0,0.0394803,-0.106789,0.0301229,-0.100712,-0.38072,-0.300571,-0.159421,-0.294777,-0.188019,0.0282029,-0.106645,0.0511618,-0.234048,-0.226245,-0.0276442,0.0154721
F6,-0.118779,-0.22999,-0.15642,-0.169877,0.0394803,1.0,-0.124339,-0.0233789,-0.0632685,-0.385455,-0.342452,-0.185197,-0.302409,-0.251652,-0.0051862,-0.0530151,-0.025792,-0.256258,-0.255637,-0.0449288,0.0376574
F7,-0.183765,-0.254126,-0.191667,-0.198264,-0.106789,-0.124339,1.0,-0.149313,-0.221148,-0.410722,-0.344381,-0.19591,-0.329835,-0.211705,-0.0827645,-0.203223,-0.114661,-0.277712,-0.262992,-0.135557,-0.16651
F8,-0.133786,-0.250507,-0.155089,-0.192874,0.0301229,-0.0233789,-0.149313,1.0,-0.109621,-0.354868,-0.310773,-0.182669,-0.324666,-0.251647,-0.0460667,-0.115291,0.0094207,-0.236606,-0.243297,-0.0681206,-0.0330138
F9,-0.15931,-0.271445,-0.178323,-0.203672,-0.100712,-0.0632685,-0.221148,-0.109621,1.0,-0.388125,-0.354522,-0.197393,-0.32379,-0.293974,-0.114302,-0.111728,-0.0829763,-0.256102,-0.264096,-0.132002,-0.00906475
F23,-0.392324,-0.385971,-0.396437,-0.336483,-0.38072,-0.385455,-0.410722,-0.354868,-0.388125,1.0,-0.298549,-0.40995,-0.440553,-0.407973,-0.370027,-0.414431,-0.369782,-0.362198,-0.444923,-0.342178,-0.323678
F22,-0.328103,-0.303086,-0.319733,-0.283427,-0.300571,-0.342452,-0.344381,-0.310773,-0.354522,-0.298549,1.0,-0.314286,-0.351389,-0.341996,-0.279311,-0.369712,-0.327108,-0.21035,-0.36935,-0.330491,-0.296377
F18,-0.15861,-0.254467,-0.166873,-0.191247,-0.159421,-0.185197,-0.19591,-0.182669,-0.197393,-0.40995,-0.314286,1.0,-0.194886,-0.240077,-0.106459,-0.186433,-0.20518,-0.243989,-0.215856,-0.177291,-0.140143
F20,-0.274247,-0.293486,-0.296751,-0.248216,-0.294777,-0.302409,-0.329835,-0.324666,-0.32379,-0.440553,-0.351389,-0.194886,1.0,-0.311534,-0.243466,-0.296246,-0.327565,-0.305016,-0.337695,-0.286826,-0.278163
F12,-0.281095,-0.286384,-0.264972,-0.242613,-0.188019,-0.251652,-0.211705,-0.251647,-0.293974,-0.407973,-0.341996,-0.240077,-0.311534,1.0,0.115245,-0.267988,-0.261541,-0.269518,-0.282888,-0.263383,-0.238108
F13,-0.0831435,-0.212114,-0.131967,-0.164825,0.0282029,-0.0051862,-0.0827645,-0.0460667,-0.114302,-0.370027,-0.279311,-0.106459,-0.243466,0.115245,1.0,-0.0934925,-0.0778723,-0.195035,-0.182254,-0.0240177,0.003625
F10,-0.135973,-0.244155,-0.156345,-0.180904,-0.106645,-0.0530151,-0.203223,-0.115291,-0.111728,-0.414431,-0.369712,-0.186433,-0.296246,-0.267988,-0.0934925,1.0,-0.113332,-0.260821,-0.255008,-0.133065,-0.072342
F11,-0.141888,-0.261031,-0.17789,-0.197938,0.0511618,-0.025792,-0.114661,0.0094207,-0.0829763,-0.369782,-0.327108,-0.20518,-0.327565,-0.261541,-0.0778723,-0.113332,1.0,-0.255162,-0.25654,-0.112493,-0.0409628
F16,-0.252173,-0.272666,-0.230535,-0.229761,-0.234048,-0.256258,-0.277712,-0.236606,-0.256102,-0.362198,-0.21035,-0.243989,-0.305016,-0.269518,-0.195035,-0.260821,-0.255162,1.0,-0.278727,-0.256498,-0.218452
F17,-0.179541,-0.303257,-0.215981,-0.210796,-0.226245,-0.255637,-0.262992,-0.243297,-0.264096,-0.444923,-0.36935,-0.215856,-0.337695,-0.282888,-0.182254,-0.255008,-0.25654,-0.278727,1.0,-0.230756,-0.225573
F14,-0.107681,-0.206739,-0.15394,-0.156475,-0.0276442,-0.0449288,-0.135557,-0.0681206,-0.132002,-0.342178,-0.330491,-0.177291,-0.286826,-0.263383,-0.0240177,-0.133065,-0.112493,-0.256498,-0.230756,1.0,-0.0123338
F15,-0.0866079,-0.206864,-0.113041,-0.163775,0.0154721,0.0376574,-0.16651,-0.0330138,-0.00906475,-0.323678,-0.296377,-0.140143,-0.278163,-0.238108,0.003625,-0.072342,-0.0409628,-0.218452,-0.225573,-0.0123338,1.0
