IID,PC1,PC2,PC1_Variance,PC2_Variance
F1,0.0566789,-0.256949,13.338410625133749,11.629111759742745
F2,0.615388,0.180479,13.338410625133749,11.629111759742745
F3,0.0348055,-0.134383,13.338410625133749,11.629111759742745
F4,0.636689,0.170023,13.338410625133749,11.629111759742745
F5,-0.191324,0.225065,13.338410625133749,11.629111759742745
F6,-0.135803,0.299178,13.338410625133749,11.629111759742745
F7,-0.106162,0.0661803,13.338410625133749,11.629111759742745
F8,-0.177295,0.268724,13.338410625133749,11.629111759742745
F9,-0.12878,0.232798,13.338410625133749,11.629111759742745
F23,-0.00230377,0.00173724,13.338410625133749,11.629111759742745
F22,0.0439863,-0.125054,13.338410625133749,11.629111759742745
F18,-0.0208938,-0.282559,13.338410625133749,11.629111759742745
F20,0.0431365,-0.23529,13.338410625133749,11.629111759742745
F12,-0.124239,-0.239723,13.338410625133749,11.629111759742745
F13,-0.121617,-0.259631,13.338410625133749,11.629111759742745
F10,-0.0456517,0.0917055,13.338410625133749,11.629111759742745
F11,-0.210246,0.343985,13.338410625133749,11.629111759742745
F16,-0.0298903,-0.168699,13.338410625133749,11.629111759742745
F17,-0.032581,-0.339422,13.338410625133749,11.629111759742745
F14,0.038417,-0.0313039,13.338410625133749,11.629111759742745
F15,-0.113944,0.19076,13.338410625133749,11.629111759742745
