IID,Accession Bank ID,Local Names,Collection Country,Collection Site,PC1,PC2
F1,1543,hassawy_3,Saudi-Arabia,KSA(Al-Hasa),0.0566789,-0.256949
F2,1544,Misr_3,Egypt,Egypt,0.615388,0.180479
F3,1545,L53_D,Saudi-Arabia,KSA,0.0348055,-0.134383
F4,1546,hassawy1,Saudi-Arabia,KSA(Al-Hasa),0.636689,0.170023
F5,1547,luz_x_G716,Saudi-Arabia,KSA,-0.191324,0.225065
F6,1548,ksu_9-13,Saudi-Arabia,KSA,-0.135803,0.299178
F7,1549,ksu_11-13,Saudi-Arabia,KSA,-0.106162,0.0661803
F8,1550,ksu_8-13,Saudi-Arabia,KSA,-0.177295,0.268724
F9,1551,ksu_16-13,Saudi-Arabia,KSA,-0.12878,0.232798
F23,1562,Giza-Blanka ,Egypt,Egypt,-0.00230377,0.00173724
F22,1561,PBA,Australia,Australia,0.0439863,-0.125054
F18,1557,jazira-2,Sudan,Sudan,-0.0208938,-0.282559
F20,823,823,,KSA(Najd),0.0431365,-0.23529
F12,1559,TW-3,Saudi-Arabia,KSA,-0.124239,-0.239723
F13,1560,TW-4,Saudi-Arabia,KSA,-0.121617,-0.259631
F10,1552,sakha-1_x_luz,Saudi-Arabia,KSA,-0.0456517,0.0917055
F11,1558,L56-DP,Saudi-Arabia,KSA,-0.210246,0.343985
F16,1555,Firod,Australia,Australia,-0.0298903,-0.168699
F17,1556,gazira-1,Sudan,Sudan,-0.032581,-0.339422
F14,1553,sakha-2,Egypt,Egypt,0.038417,-0.0313039
F15,1554,luz ,Spain,Spain,-0.113944,0.19076
