IID,Accession Bank ID,Local Names,Collection Country,Collection Site
F1,1543,hassawy_3,Saudi-Arabia,KSA(Al-Hasa)
F10,1552,sakha-1_x_luz,Saudi-Arabia,KSA
F11,1558,L56-DP,Saudi-Arabia,KSA
F12,1559,TW-3,Saudi-Arabia,KSA
F13,1560,TW-4,Saudi-Arabia,KSA
F14,1553,sakha-2,Egypt,Egypt
F15,1554,luz ,Spain,Spain
F16,1555,Firod,Australia,Australia
F17,1556,gazira-1,Sudan,Sudan
F18,1557,jazira-2,Sudan,Sudan
F2,1544,Misr_3,Egypt,Egypt
F20,823,823,,KSA(Najd)
F22,1561,PBA,Australia,Australia
F23,1562,Giza-Blanka ,Egypt,Egypt
F3,1545,L53_D,Saudi-Arabia,KSA
F4,1546,hassawy1,Saudi-Arabia,KSA(Al-Hasa)
F5,1547,luz_x_G716,Saudi-Arabia,KSA
F6,1548,ksu_9-13,Saudi-Arabia,KSA
F7,1549,ksu_11-13,Saudi-Arabia,KSA
F8,1550,ksu_8-13,Saudi-Arabia,KSA
F9,1551,ksu_16-13,Saudi-Arabia,KSA
